director,popularity,stars,title,writers,year
Frank Darabont,,"Tim Robbins,Morgan Freeman,Bob Gunton,See full cast & crew","The Shawshank Redemption ,            ","Stephen King,Frank Darabont",1994
Sidney Lumet,,"Henry Fonda,Lee J. Cobb,Martin Balsam,See full cast & crew","12 Angry Men ,            ","Reginald Rose,Reginald Rose",1957
Francis Ford Coppola,,"Al Pacino,Robert De Niro,Robert Duvall,See full cast & crew","The Godfather: Part II ,            ","Francis Ford Coppola,Mario Puzo,1 more credit",1974
Francis Ford Coppola,,"Marlon Brando,Al Pacino,James Caan,See full cast & crew","The Godfather ,            ","Mario Puzo,Francis Ford Coppola,1 more credit",1972
Steven Spielberg,,"Liam Neeson,Ralph Fiennes,Ben Kingsley,See full cast & crew","Schindler's List ,            ","Thomas Keneally,Steven Zaillian",1993
Christopher Nolan,,"Christian Bale,Heath Ledger,Aaron Eckhart,See full cast & crew","The Dark Knight ,            ","Jonathan Nolan,Christopher Nolan,3 more credits",2008
Quentin Tarantino,,"John Travolta,Uma Thurman,Samuel L. Jackson,See full cast & crew","Pulp Fiction ,            ","Quentin Tarantino,Roger Avary,1 more credit",1994
Peter Jackson,,"Elijah Wood,Viggo Mortensen,Ian McKellen,See full cast & crew","The Lord of the Rings: The Return of the King ,            ","J.R.R. Tolkien,Fran Walsh,2 more credits",2003
Peter Jackson,,"Elijah Wood,Ian McKellen,Orlando Bloom,See full cast & crew","The Lord of the Rings: The Fellowship of the Ring ,            ","J.R.R. Tolkien,Fran Walsh,2 more credits",2001
Sergio Leone,,"Clint Eastwood,Eli Wallach,Lee Van Cleef,See full cast & crew","The Good, the Bad and the Ugly ,            ","Luciano Vincenzoni,Sergio Leone,4 more credits",1966
David Fincher,,"Brad Pitt,Edward Norton,Meat Loaf,See full cast & crew","Fight Club ,            ","Chuck Palahniuk,Jim Uhls",1999
Robert Zemeckis,,"Tom Hanks,Robin Wright,Gary Sinise,See full cast & crew","Forrest Gump ,            ","Winston Groom,Eric Roth",1994
Irvin Kershner,,"Mark Hamill,Harrison Ford,Carrie Fisher,See full cast & crew","Star Wars: Episode V - The Empire Strikes Back ,            ","Leigh Brackett,Lawrence Kasdan,1 more credit",1980
Peter Jackson,,"Elijah Wood,Ian McKellen,Viggo Mortensen,See full cast & crew","The Lord of the Rings: The Two Towers ,            ","J.R.R. Tolkien,Fran Walsh,3 more credits",2002
"Lana Wachowski,Lilly Wachowski",,"Keanu Reeves,Laurence Fishburne,Carrie-Anne Moss,See full cast & crew","The Matrix ,            ","Lilly Wachowski,Lana Wachowski",1999
Nadine Labaki,,"Zain Al Rafeea,Yordanos Shiferaw,Boluwatife Treasure Bankole,See full cast & crew","Capernaum ,            ","Nadine Labaki,Jihad Hojeily,3 more credits",2018
Christopher Nolan,,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,See full cast & crew","Inception ,            ",Christopher Nolan,2010
Zaza Urushadze,,"Lembit Ulfsak,Elmo Nüganen,Giorgi Nakashidze,See full cast & crew","Tangerines ,            ","Tatjana Mülbeier,Zaza Urushadze,2 more credits",2013
Kar-Wai Wong,,"Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,See full cast & crew","In the Mood for Love ,            ",Kar-Wai Wong,2000
Ingmar Bergman,,"Bertil Guve,Pernilla Allwin,Kristina Adolphson,See full cast & crew","Fanny and Alexander ,            ",Ingmar Bergman,1982
"Ron Clements,John Musker",,"Scott Weinger,Robin Williams,Linda Larkin,See full cast & crew","Aladdin ,            ","Ron Clements,John Musker,18 more credits",1992
Priyadarshan,,"Akshay Kumar,Sunil Shetty,Paresh Rawal,See full cast & crew","Hera Pheri ,            ","Siddique,Lal,3 more credits",2000
Ashutosh Gowariker,,"Aamir Khan,Raghuvir Yadav,Gracy Singh,See full cast & crew","Lagaan: Once Upon a Time in India ,            ","Ashutosh Gowariker,Ashutosh Gowariker,3 more credits",2001
George Roy Hill,,"Paul Newman,Robert Redford,Katharine Ross,See full cast & crew","Butch Cassidy and the Sundance Kid ,            ",William Goldman,1969
Billy Wilder,,"Kirk Douglas,Jan Sterling,Robert Arthur,See full cast & crew","Ace in the Hole ,            ","Billy Wilder,Lesser Samuels,1 more credit",1951
Nuri Bilge Ceylan,,"Haluk Bilginer,Melisa Sözen,Demet Akbag,See full cast & crew","Winter Sleep ,            ","Ebru Ceylan,Nuri Bilge Ceylan,1 more credit",2014
James Cameron,,"Arnold Schwarzenegger,Linda Hamilton,Michael Biehn,See full cast & crew","The Terminator ,            ","James Cameron,Gale Anne Hurd,1 more credit",1984
Nishikant Kamat,,"Ajay Devgn,Shriya Saran,Tabu,See full cast & crew","Drishyam ,            ","Jeethu Joseph,Upendra Sidhaye",2015
Oriol Paulo,,"Mario Casas,Ana Wagener,Jose Coronado,See full cast & crew","The Invisible Guest ,            ",Oriol Paulo,2016
Rob Reiner,,"Cary Elwes,Mandy Patinkin,Robin Wright,See full cast & crew","The Princess Bride ,            ","William Goldman,William Goldman",1987
